v_mps,a_mps2,pressure_MPa,mu,v_next_mps,a_next_mps2,brake_utilization,slip_risk
7.91952321955469,-7.00668400790857,4.33794119768842,0.8,7.52712321955469,-7.848,1.07478155736136,1
23.0962738665344,-1.9840526354534,4.95482398242746,0.6,22.8019738665344,-5.886,1.63682975974026,1
27.4616390340466,-7.47372794088645,5.29969910508078,0.2,27.3635390340466,-1.962,5.2522785331812,1
19.5745981355778,-6.32224424715925,4.39155970625303,0.8,19.1821981355778,-7.848,1.08806624277138,1
7.81078679602539,-7.51551093248693,9.12381383460286,0.4,7.61458679602539,-3.924,4.52108795179381,1
3.86338014759444,-7.76202307995451,6.45560677593309,0.4,3.66718014759444,-3.924,3.19892169494929,1
11.3801999898151,-4.37319940923583,8.56270910295287,0.4,11.1839999898151,-3.924,4.24304590841758,1
27.462720308303,-5.44340718296366,4.92810221217416,0.4,27.266520308303,-3.924,2.4420033048207,1
4.14563574804591,-5.7956382784217,6.54968729473412,0.2,4.04753574804591,-1.962,6.49108209637824,1
3.02883765397898,-4.18123807310694,0.277216389160846,0.4,3.00188606058834,-0.539031867812756,0.137367958158195,0
13.8271753467573,-1.61173651130717,3.70507749487999,0.8,13.4669594791995,-7.20431735115554,0.917981313857739,0
4.72179206301131,-7.09871463683447,6.86961955512822,0.2,4.62369206301131,-1.962,6.80815167146584,1
7.34541482379593,-2.39229577704946,7.35054177938468,0.2,7.24731482379593,-1.962,7.28477070671831,1
3.48637235859162,-1.89030392955752,9.19442271727221,0.6,3.19207235859162,-5.886,3.03738433103529,1
18.8108839012638,-5.45148532262494,8.03066984401935,0.2,18.7127839012638,-1.962,7.95881313117786,1
24.0657081224543,-5.00290737808216,0.487553753404039,0.2,24.0183070630956,-0.94802118717452,0.483191226898328,0
15.8266345087528,-3.3758179769248,4.94109606389153,0.4,15.6304345087528,-3.924,2.44844209757905,1
6.88965290303212,-4.17483197609295,4.33845795440713,0.8,6.49725290303212,-7.848,1.07490959058394,1
12.9025814460735,-3.69013572035128,2.18922902916144,0.6,12.689739734905,-4.25683422336946,0.723213425648906,0
20.8161233260269,-5.63624842559235,7.07228495091884,0.4,20.6199233260269,-3.924,3.50450183036243,1
31.5202092426674,-4.83136937546794,9.65953688647735,0.6,31.2259092426674,-5.886,3.19103514013202,1
33.1059303080529,-3.80160361314058,1.6033850734479,0.6,32.9500456481343,-3.11769319837092,0.529679442468726,0
10.1600891199787,-3.81659325459263,6.60877954764045,0.4,9.96388911997875,-3.924,3.27482280223434,1
3.10105271200501,-0.922790947290046,3.36750827827992,0.6,2.80675271200501,-5.886,1.11245884528068,1
28.1584544053663,-2.38540526538385,4.40379089040866,0.4,27.9622544053663,-3.924,2.18219335661319,1
31.0909508763073,-3.85389757736706,1.71639368559909,0.4,30.9240792679852,-3.33743216644268,0.850517881356441,0
16.7906618817991,-7.12405700969179,9.02454131192401,0.2,16.6925618817991,-1.962,8.94379165016821,1
26.3496271950014,-2.13709953258766,1.81667095558037,0.2,26.2515271950014,-1.962,1.80041577317116,1
29.244970485912,-3.67095226798379,5.86807893885481,0.4,29.048770485912,-3.924,2.90778631300145,1
21.4048966157782,-6.04908951760425,6.95101367214437,0.4,21.2086966157782,-3.924,3.44440874568259,1
29.4413861516279,-7.06582380891598,3.38695114937859,0.6,29.1470861516279,-5.886,1.11888181209887,1
3.50814802101567,-6.89939978273701,8.92169337207682,0.6,3.21384802101566,-5.886,2.94728799054903,1
11.0765206190422,-0.634803215738776,2.2256625164724,0.8,10.8601367632741,-4.32767711536301,0.551436941305174,0
11.2483761378812,-7.7131220168031,3.70926447083298,0.4,11.0521761378812,-3.924,1.83803738361018,1
