time_s,mu,pressure_fixed_MPa,pressure_shield_MPa,v_fixed_mps,v_shield_mps,a_fixed_mps2,a_shield_mps2,v_pred_shield_mps,a_pred_shield_mps2,risk_fixed,risk_shield
1.75,0.8,8,3.5,8.48822222222224,10.3125,-7.848,-6.80555555555556,9.99666494123021,-6.80454948847998,1,0
1.8,0.8,8,3.5,8.09582222222224,9.97222222222219,-7.848,-6.80555555555556,9.65640567953087,-6.80434346109095,1,0
1.85,0.8,8,3.5,7.70342222222224,9.63194444444441,-7.848,-6.80555555555556,9.31614641783154,-6.80413743370191,1,0
1.9,0.8,8,3.5,7.31102222222224,9.29166666666664,-7.848,-6.80555555555556,8.9758871561322,-6.80393140631288,1,0
1.95,0.8,8,3.5,6.91862222222224,8.95138888888886,-7.848,-6.80555555555556,8.63562789443286,-6.80372537892385,1,0
2,0.2,8,0.5,6.52622222222224,8.61111111111108,-7.848,-6.80555555555556,8.56877116457011,-0.974283913223625,1,0
2.05,0.2,8,0.5,6.42812222222224,8.56249999999997,-1.962,-0.972222222222222,8.51912031223659,-0.975862923904045,1,0
2.1,0.2,8,0.5,6.33002222222224,8.51388888888886,-1.962,-0.972222222222222,8.4705041896246,-0.975867391117499,1,0
2.15,0.2,8,0.5,6.23192222222224,8.46527777777775,-1.962,-0.972222222222222,8.4218880670126,-0.975871858330954,1,0
2.2,0.2,8,0.5,6.13382222222224,8.41666666666664,-1.962,-0.972222222222222,8.37327194440061,-0.975876325544407,1,0
2.25,0.2,8,0.5,6.03572222222224,8.36805555555553,-1.962,-0.972222222222222,8.32465582178861,-0.975880792757862,1,0
2.3,0.2,8,0.5,5.93762222222224,8.31944444444441,-1.962,-0.972222222222222,8.27603969917662,-0.975885259971317,1,0
2.35,0.2,8,0.5,5.83952222222224,8.2708333333333,-1.962,-0.972222222222222,8.22742357656462,-0.975889727184772,1,0
2.4,0.2,8,0.5,5.74142222222224,8.22222222222219,-1.962,-0.972222222222222,8.17880745395263,-0.975894194398225,1,0
2.45,0.2,8,0.5,5.64332222222224,8.17361111111108,-1.962,-0.972222222222222,8.13019133134064,-0.975898661611679,1,0
2.5,0.2,8,0.5,5.54522222222224,8.12499999999997,-1.962,-0.972222222222222,8.08157520872864,-0.975903128825133,1,0
2.55,0.2,8,0.5,5.44712222222224,8.07638888888886,-1.962,-0.972222222222222,8.03295908611665,-0.975907596038589,1,0
2.6,0.2,8,0.5,5.34902222222224,8.02777777777775,-1.962,-0.972222222222222,7.98434296350465,-0.975912063252042,1,0
2.65,0.2,8,0.5,5.25092222222224,7.97916666666664,-1.962,-0.972222222222222,7.93572684089266,-0.975916530465498,1,0
2.7,0.2,8,0.5,5.15282222222224,7.93055555555553,-1.962,-0.972222222222222,7.88711071828067,-0.975920997678952,1,0
2.75,0.2,8,0.5,5.05472222222224,7.88194444444442,-1.962,-0.972222222222222,7.83849459566867,-0.975925464892406,1,0
2.8,0.2,8,0.5,4.95662222222224,7.83333333333331,-1.962,-0.972222222222222,7.78987847305667,-0.975929932105861,1,0
2.85,0.2,8,0.5,4.85852222222224,7.7847222222222,-1.962,-0.972222222222222,7.74126235044468,-0.975934399319315,1,0
2.9,0.2,8,0.5,4.76042222222224,7.73611111111109,-1.962,-0.972222222222222,7.69264622783268,-0.975938866532768,1,0
2.95,0.2,8,0.5,4.66232222222224,7.68749999999998,-1.962,-0.972222222222222,7.6440301052207,-0.975943333746224,1,0
3,0.2,8,0.5,4.56422222222224,7.63888888888886,-1.962,-0.972222222222222,7.5954139826087,-0.975947800959678,1,0
3.05,0.2,8,0.5,4.46612222222224,7.59027777777775,-1.962,-0.972222222222222,7.54679785999671,-0.975952268173131,1,0
3.1,0.2,8,0.5,4.36802222222224,7.54166666666664,-1.962,-0.972222222222222,7.49818173738471,-0.975956735386585,1,0
3.15,0.2,8,0.5,4.26992222222224,7.49305555555553,-1.962,-0.972222222222222,7.44956561477271,-0.975961202600041,1,0
3.2,0.2,8,0.5,4.17182222222224,7.44444444444442,-1.962,-0.972222222222222,7.40094949216072,-0.975965669813494,1,0
3.25,0.2,8,0.5,4.07372222222225,7.39583333333331,-1.962,-0.972222222222222,7.35233336954873,-0.975970137026949,1,0
3.3,0.2,8,0.5,3.97562222222225,7.3472222222222,-1.962,-0.972222222222222,7.30371724693673,-0.975974604240403,1,0
3.35,0.2,8,0.5,3.87752222222224,7.29861111111109,-1.962,-0.972222222222222,7.25510112432474,-0.975979071453858,1,0
3.4,0.2,8,0.5,3.77942222222224,7.24999999999998,-1.962,-0.972222222222222,7.20648500171274,-0.975983538667312,1,0
3.45,0.2,8,0.5,3.68132222222224,7.20138888888887,-1.962,-0.972222222222222,7.15786887910075,-0.975988005880767,1,0
3.5,0.2,8,0.5,3.58322222222224,7.15277777777776,-1.962,-0.972222222222222,7.10925275648876,-0.975992473094221,1,0
3.55,0.2,8,0.5,3.48512222222224,7.10416666666665,-1.962,-0.972222222222222,7.06063663387676,-0.975996940307675,1,0
3.6,0.2,8,0.5,3.38702222222224,7.05555555555554,-1.962,-0.972222222222222,7.01202051126477,-0.976001407521129,1,0
3.65,0.2,8,0.5,3.28892222222224,7.00694444444443,-1.962,-0.972222222222222,6.96340438865277,-0.976005874734584,1,0
3.7,0.2,8,0.5,3.19082222222224,6.95833333333331,-1.962,-0.972222222222222,6.91478826604078,-0.976010341948037,1,0
3.75,0.2,8,0.5,3.09272222222224,6.9097222222222,-1.962,-0.972222222222222,6.86617214342878,-0.976014809161493,1,0
3.8,0.2,8,0.5,2.99462222222224,6.86111111111109,-1.962,-0.972222222222222,6.81755602081679,-0.976019276374947,1,0
3.85,0.2,8,0.5,2.89652222222224,6.81249999999998,-1.962,-0.972222222222222,6.7689398982048,-0.976023743588401,1,0
3.9,0.2,8,0.5,2.79842222222224,6.76388888888887,-1.962,-0.972222222222222,6.7203237755928,-0.976028210801856,1,0
3.95,0.2,8,0.5,2.70032222222224,6.71527777777776,-1.962,-0.972222222222222,6.67170765298081,-0.97603267801531,1,0
4,0.2,8,0.5,2.60222222222224,6.66666666666665,-1.962,-0.972222222222222,6.62309153036882,-0.976037145228764,1,0
4.05,0.2,8,0.5,2.50412222222224,6.61805555555554,-1.962,-0.972222222222222,6.57447540775682,-0.976041612442219,1,0
4.1,0.2,8,0.5,2.40602222222224,6.56944444444443,-1.962,-0.972222222222222,6.52585928514482,-0.976046079655672,1,0
4.15,0.2,8,0.5,2.30792222222224,6.52083333333332,-1.962,-0.972222222222222,6.47724316253283,-0.976050546869128,1,0
4.2,0.2,8,0.5,2.20982222222224,6.47222222222221,-1.962,-0.972222222222222,6.42862703992084,-0.976055014082581,1,0
4.25,0.2,8,0.5,2.11172222222224,6.4236111111111,-1.962,-0.972222222222222,6.38001091730884,-0.976059481296036,1,0
4.3,0.2,8,0.5,2.01362222222224,6.37499999999999,-1.962,-0.972222222222222,6.33139479469685,-0.97606394850949,1,0
4.35,0.2,8,0.5,1.91552222222224,6.32638888888888,-1.962,-0.972222222222222,6.28277867208485,-0.976068415722944,1,0
4.4,0.2,8,0.5,1.81742222222224,6.27777777777776,-1.962,-0.972222222222222,6.23416254947286,-0.976072882936398,1,0
4.45,0.2,8,0.5,1.71932222222224,6.22916666666665,-1.962,-0.972222222222222,6.18554642686086,-0.976077350149853,1,0
4.5,0.2,8,0.5,1.62122222222224,6.18055555555554,-1.962,-0.972222222222222,6.13693030424887,-0.976081817363307,1,0
4.55,0.2,8,0.5,1.52312222222224,6.13194444444443,-1.962,-0.972222222222222,6.08831418163687,-0.976086284576762,1,0
4.6,0.2,8,0.5,1.42502222222224,6.08333333333332,-1.962,-0.972222222222222,6.03969805902488,-0.976090751790216,1,0
4.65,0.2,8,0.5,1.32692222222224,6.03472222222221,-1.962,-0.972222222222222,5.99108193641289,-0.97609521900367,1,0
4.7,0.2,8,0.5,1.22882222222224,5.9861111111111,-1.962,-0.972222222222222,5.94246581380089,-0.976099686217125,1,0
4.75,0.2,8,0.5,1.13072222222224,5.93749999999999,-1.962,-0.972222222222222,5.8938496911889,-0.97610415343058,1,0
4.8,0.2,8,0.5,1.03262222222224,5.88888888888888,-1.962,-0.972222222222222,5.8452335685769,-0.976108620644033,1,0
4.85,0.2,8,0.5,0.934522222222243,5.84027777777777,-1.962,-0.972222222222222,5.79661744596491,-0.976113087857489,1,0
4.9,0.2,8,0.5,0.836422222222243,5.79166666666666,-1.962,-0.972222222222222,5.74800132335291,-0.976117555070942,1,0
4.95,0.2,8,0.5,0.738322222222243,5.74305555555555,-1.962,-0.972222222222222,5.69938520074092,-0.976122022284398,1,0
5,0.2,8,0.5,0.640222222222242,5.69444444444444,-1.962,-0.972222222222222,5.69938520074092,-0.976122022284398,0,0
